code,description,severity,affected_system,symptoms,impact,recommendation
P2442,AIR System Switching Valve Stuck Open Bank 2,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2443,AIR System Switching Valve Stuck Closed Bank 2,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2444,AIR System Pump Stuck On Bank 1,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2445,AIR System Pump Stuck Off Bank 1,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2446,AIR System Pump Stuck On Bank 2,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2447,AIR System Pump Stuck Off Bank 2,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2448,AIR System High Air Flow Bank 1,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2449,AIR System High Air Flow Bank 2,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P244A,Particulate Filter Differential Pressure Too Low Bank 1,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P244B,Particulate Filter Differential Pressure Too High Bank 1,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P244C,Exhaust Temperature Too Low For Particulate Filter Regeneration Bank 1,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P244D,Exhaust Temperature Too High For Particulate Filter Regeneration Bank 1,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P244E,Exhaust Temperature Too Low For Particulate Filter Regeneration Bank 2,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P244F,Exhaust Temperature Too High For Particulate Filter Regeneration Bank 2,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2450,EVAP System Switching Valve Performance/Stuck Open,Medium,Fuel & Emission,"[""Fuel smell"", ""Failed emissions test""]",Reduced performance and possible secondary system impact,Schedule service within 1-2 weeks; monitor vehicle behavior
P2451,EVAP System Switching Valve Stuck Closed,Medium,Fuel & Emission,"[""Fuel smell"", ""Failed emissions test""]",Reduced performance and possible secondary system impact,Schedule service within 1-2 weeks; monitor vehicle behavior
P2452,Particulate Filter Pressure Sensor A Circuit,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2453,Particulate Filter Pressure Sensor A Circuit Range/Performance,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2454,Particulate Filter Pressure Sensor A Circuit Low,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2455,Particulate Filter Pressure Sensor A Circuit High,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2456,Particulate Filter Pressure Sensor A Circuit Intermittent/Erratic,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2457,EGR Cooler A Efficiency Below Threshold,Medium,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Schedule service within 1-2 weeks; monitor vehicle behavior
P2458,Particulate Filter Regeneration Duration Bank 1,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2459,Particulate Filter Regeneration Frequency Bank 1,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P245A,EGR Cooler Bypass Control Circuit/Open Bank 1,Medium,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Schedule service within 1-2 weeks; monitor vehicle behavior
P245B,EGR Cooler Bypass Control Circuit Range/Performance Bank 1,Medium,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Schedule service within 1-2 weeks; monitor vehicle behavior
P245C,EGR Cooler Bypass Control Circuit Low Bank 1,Medium,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Schedule service within 1-2 weeks; monitor vehicle behavior
P245D,EGR Cooler Bypass Control Circuit High Bank 1,Medium,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Schedule service within 1-2 weeks; monitor vehicle behavior
P245E,Particulate Filter Pressure Sensor B Circuit,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P245F,Particulate Filter Pressure Sensor B Circuit Range/Performance,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2460,Particulate Filter Pressure Sensor B Circuit Low,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2461,Particulate Filter Pressure Sensor B Circuit High,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2462,Particulate Filter Pressure Sensor B Circuit Intermittent/Erratic,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2463,Particulate Filter Restriction - Soot Accumulation Bank 1,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2464,Particulate Filter Differential Pressure Too Low Bank 2,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2465,Particulate Filter Differential Pressure Too High Bank 2,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2466,Exhaust Gas Temperature Sensor Circuit Bank 2 Sensor 3,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2467,Exhaust Gas Temperature Sensor Circuit Range/Performance Bank 2 Sensor 3,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2468,Exhaust Gas Temperature Sensor Circuit Low Bank 2 Sensor 3,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2469,Exhaust Gas Temperature Sensor Circuit High Bank 2 Sensor 3,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P246A,Exhaust Gas Temperature Sensor Circuit Intermittent/Erratic Bank 2 Sensor 3,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P246B,Vehicle Conditions Incorrect for Particulate Filter Regeneration,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P246C,Particulate Filter Restriction - Forced Limited Power Bank 1,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P246D,Particulate Filter Pressure Sensor A/B Correlation,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P246E,Exhaust Gas Temperature Sensor Circuit Bank 1 Sensor 4,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P246F,Exhaust Gas Temperature Sensor Circuit Range/Performance Bank 1 Sensor 4,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2470,Exhaust Gas Temperature Sensor Circuit Low Bank 1 Sensor 4,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2471,Exhaust Gas Temperature Sensor Circuit High Bank 1 Sensor 4,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2472,Exhaust Gas Temperature Sensor Circuit Intermittent/Erratic Bank 1 Sensor 4,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2473,Exhaust Gas Temperature Sensor Circuit Bank 2 Sensor 4,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2474,Exhaust Gas Temperature Sensor Circuit Range/Performance Bank 2 Sensor 4,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2475,Exhaust Gas Temperature Sensor Circuit Low Bank 2 Sensor 4,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2476,Exhaust Gas Temperature Sensor Circuit High Bank 2 Sensor 4,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2477,Exhaust Gas Temperature Sensor Circuit Intermittent/Erratic Bank 2 Sensor 4,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2478,Exhaust Gas Temperature Out of Range Bank 1 Sensor 1,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2479,Exhaust Gas Temperature Out of Range Bank 1 Sensor 2,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P247A,Exhaust Gas Temperature Out of Range Bank 1 Sensor 3,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P247B,Exhaust Gas Temperature Out of Range Bank 1 Sensor 4,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P247C,Exhaust Gas Temperature Out of Range Bank 2 Sensor 1,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P247D,Exhaust Gas Temperature Out of Range Bank 2 Sensor 2,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P247E,Exhaust Gas Temperature Out of Range Bank 2 Sensor 3,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P247F,Exhaust Gas Temperature Out of Range Bank 2 Sensor 4,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2480,Exhaust Gas Temperature Sensor Circuit/Open Bank 1 Sensor 5,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2481,Exhaust Gas Temperature Sensor Circuit Low Bank 1 Sensor 5,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2482,Exhaust Gas Temperature Sensor Circuit High Bank 1 Sensor 5,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2483,Exhaust Gas Temperature Sensor Circuit Range/Performance Bank 1 Sensor 5,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2484,Exhaust Gas Temperature Sensor Circuit Intermittent/Erratic Bank 1 Sensor 5,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2485,Exhaust Gas Temperature Sensor Circuit/Open Bank 2 Sensor 5,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2486,Exhaust Gas Temperature Sensor Circuit Low Bank 2 Sensor 5,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2487,Exhaust Gas Temperature Sensor Circuit High Bank 2 Sensor 5,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2488,Exhaust Gas Temperature Sensor Circuit Range/Performance Bank 2 Sensor 5,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2489,Exhaust Gas Temperature Sensor Circuit Intermittent/Erratic Bank 2 Sensor 5,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P248A,Reductant Heater A Sense Circuit Low,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P248B,Reductant Heater A Sense Circuit High,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P248C,Reductant Heater B Sense Circuit Low,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P248D,Reductant Heater B Sense Circuit High,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P248E,EGR Cooler Bypass Control Circuit/Open Bank 2,Medium,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Schedule service within 1-2 weeks; monitor vehicle behavior
P248F,EGR Cooler Bypass Control Circuit Range/Performance Bank 2,Medium,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Schedule service within 1-2 weeks; monitor vehicle behavior
P2490,EGR Cooler Bypass Control Circuit Low Bank 2,Medium,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Schedule service within 1-2 weeks; monitor vehicle behavior
P2491,EGR Cooler Bypass Control Circuit High Bank 2,Medium,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Schedule service within 1-2 weeks; monitor vehicle behavior
P2492,EGR Cooler Bypass Position Sensor Circuit Bank 1,Medium,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Schedule service within 1-2 weeks; monitor vehicle behavior
P2493,EGR Cooler Bypass Position Sensor Range/Performance Bank 1,Medium,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Schedule service within 1-2 weeks; monitor vehicle behavior
P2494,EGR Cooler Bypass Position Sensor Circuit Low Bank 1,Medium,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Schedule service within 1-2 weeks; monitor vehicle behavior
P2495,EGR Cooler Bypass Position Sensor Circuit High Bank 1,Medium,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Schedule service within 1-2 weeks; monitor vehicle behavior
P2496,EGR Cooler Bypass Position Sensor Circuit Intermittent/Erratic Bank 1,Medium,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Schedule service within 1-2 weeks; monitor vehicle behavior
P2497,EGR Cooler Bypass Position Sensor Circuit Bank 2,Medium,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Schedule service within 1-2 weeks; monitor vehicle behavior
P2498,EGR Cooler Bypass Position Sensor Range/Performance Bank 2,Medium,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Schedule service within 1-2 weeks; monitor vehicle behavior
P2499,EGR Cooler Bypass Position Sensor Circuit Low Bank 2,Medium,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Schedule service within 1-2 weeks; monitor vehicle behavior
P249A,EGR Cooler Bypass Position Sensor Circuit High Bank 2,Medium,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Schedule service within 1-2 weeks; monitor vehicle behavior
P249B,EGR Cooler Bypass Position Sensor Circuit Intermittent/Erratic Bank 2,Medium,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Schedule service within 1-2 weeks; monitor vehicle behavior
P249C,Excessive Time To Enter Closed Loop Reductant Injection Control,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P249D,Closed Loop Reductant Injection Control At Limit - Flow Too Low,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P249E,Closed Loop Reductant Injection Control At Limit - Flow Too High,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P249F,Excessive Time To Enter Closed Loop Particulate Filter Regeneration Control,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P24A0,Closed Loop Particulate Filter Regeneration Control At Limit - Temperature Too Low,Low,Cooling System,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P24A1,Closed Loop Particulate Filter Regeneration Control At Limit - Temperature Too High,Low,Cooling System,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P24A2,Particulate Filter Regeneration Incomplete Bank 1,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P24A3,Particulate Filter Restriction - Soot Accumulation Bank 2,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P24A4,Particulate Filter Restriction - Soot Accumulation Too High Bank 1,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P24A5,EGR Cooler Bypass Control Stuck/Open Bank 1,Medium,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Schedule service within 1-2 weeks; monitor vehicle behavior
P24A6,EGR Cooler Bypass Control Stuck/Open Bank 2,Medium,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Schedule service within 1-2 weeks; monitor vehicle behavior
P24A7,EGR Cooler Coolant Pump Control Circuit/Open,Medium,Cooling System,"[""Temperature gauge high"", ""Engine overheating""]",Risk of engine overheating and severe damage,Schedule service within 1-2 weeks; monitor vehicle behavior
P24A8,EGR Cooler Coolant Pump Performance/Stuck Off,Medium,Cooling System,"[""Temperature gauge high"", ""Engine overheating""]",Risk of engine overheating and severe damage,Schedule service within 1-2 weeks; monitor vehicle behavior
P24A9,EGR Cooler Coolant Pump Control Circuit Low,Medium,Cooling System,"[""Temperature gauge high"", ""Engine overheating""]",Risk of engine overheating and severe damage,Schedule service within 1-2 weeks; monitor vehicle behavior
P24AA,EGR Cooler Coolant Pump Control Circuit High,Medium,Cooling System,"[""Temperature gauge high"", ""Engine overheating""]",Risk of engine overheating and severe damage,Schedule service within 1-2 weeks; monitor vehicle behavior
P24AB,EGR Cooler Coolant Pump Stuck On,Medium,Cooling System,"[""Temperature gauge high"", ""Engine overheating""]",Risk of engine overheating and severe damage,Schedule service within 1-2 weeks; monitor vehicle behavior
P24AC,EGR Cooler Coolant Pump Feedback Circuit Low,Medium,Cooling System,"[""Temperature gauge high"", ""Engine overheating""]",Risk of engine overheating and severe damage,Schedule service within 1-2 weeks; monitor vehicle behavior
P24AD,EGR Cooler Coolant Pump Feedback Circuit High,Medium,Cooling System,"[""Temperature gauge high"", ""Engine overheating""]",Risk of engine overheating and severe damage,Schedule service within 1-2 weeks; monitor vehicle behavior
P24AE,Particulate Matter Sensor Circuit,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P24AF,Particulate Matter Sensor Circuit Range/Performance,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P24B0,Particulate Matter Sensor Circuit Low,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P24B1,Particulate Matter Sensor Circuit High,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P24B2,Particulate Matter Sensor Circuit Intermittent,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P24B3,Particulate Matter Sensor Heater Control Circuit/Open,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P24B4,Particulate Matter Sensor Heater Control Circuit Range/Performance,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P24B5,Particulate Matter Sensor Heater Control Circuit Low,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P24B6,Particulate Matter Sensor Heater Control Circuit High,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P24B7,Particulate Matter Sensor Heater Resistance,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P24B8,EVAP System Leak Detection Pump Pressure Sensor Circuit,Medium,Fuel & Emission,"[""Fuel smell"", ""Failed emissions test""]",Reduced performance and possible secondary system impact,Schedule service within 1-2 weeks; monitor vehicle behavior
P24B9,EVAP System Leak Detection Pump Pressure Sensor Circuit Range/Performance,Medium,Fuel & Emission,"[""Fuel smell"", ""Failed emissions test""]",Reduced performance and possible secondary system impact,Schedule service within 1-2 weeks; monitor vehicle behavior
P24BA,EVAP System Leak Detection Pump Pressure Sensor Circuit Low,Medium,Fuel & Emission,"[""Fuel smell"", ""Failed emissions test""]",Reduced performance and possible secondary system impact,Schedule service within 1-2 weeks; monitor vehicle behavior
P24BB,EVAP System Leak Detection Pump Pressure Sensor Circuit High,Medium,Fuel & Emission,"[""Fuel smell"", ""Failed emissions test""]",Reduced performance and possible secondary system impact,Schedule service within 1-2 weeks; monitor vehicle behavior
P24BC,EVAP System Leak Detection Pump Pressure Sensor Circuit Intermittent,Medium,Fuel & Emission,"[""Fuel smell"", ""Failed emissions test""]",Reduced performance and possible secondary system impact,Schedule service within 1-2 weeks; monitor vehicle behavior
P24BD,EVAP System Leak Detection Pump Switching Valve Control Circuit/Open,Medium,Fuel & Emission,"[""Fuel smell"", ""Failed emissions test""]",Reduced performance and possible secondary system impact,Schedule service within 1-2 weeks; monitor vehicle behavior
P24BE,EVAP System Leak Detection Pump Switching Valve Control Circuit Low,Medium,Fuel & Emission,"[""Fuel smell"", ""Failed emissions test""]",Reduced performance and possible secondary system impact,Schedule service within 1-2 weeks; monitor vehicle behavior
P24BF,EVAP System Leak Detection Pump Switching Valve Control Circuit High,Medium,Fuel & Emission,"[""Fuel smell"", ""Failed emissions test""]",Reduced performance and possible secondary system impact,Schedule service within 1-2 weeks; monitor vehicle behavior
P24C0,EVAP System Leak Detection Pump Switching Valve Stuck On,Medium,Fuel & Emission,"[""Fuel smell"", ""Failed emissions test""]",Reduced performance and possible secondary system impact,Schedule service within 1-2 weeks; monitor vehicle behavior
